Unnamed:_0,Wedding_Type,Place,Cost_of_Type,Clothes_Bride,Clothes_Groom,Photography,Decor,Decor_Category,Entertainment,Entertainment_Category,Giftsper_piece,Gifts_Category,Invitations_Cards,Cards_Category
0,5,8,7437978,660719,457238,33533,533374,1,417797,0,3589,1,180,1
1,7,16,5777920,379302,316691,134543,496453,1,322713,0,4421,2,500,0
2,8,16,3243944,197374,108820,106831,527908,1,414991,0,3185,1,452,1
3,4,4,7064790,164124,115563,21246,411917,1,282843,0,3581,1,744,0
4,1,16,2675924,86758,77153,260566,279417,0,102517,3,4903,2,694,0
5,3,14,3468141,143163,51347,292911,550315,1,261453,0,955,0,790,0
6,8,2,2993411,118029,79765,284263,118760,3,214719,3,3876,1,119,1
7,4,7,6757501,114163,82337,293519,241861,0,485290,0,1233,3,303,1
8,7,7,8985357,464230,283219,248585,73802,3,453115,0,3973,1,499,1
9,3,1,1977228,181183,84807,47908,337709,0,190962,3,2854,1,441,1
10,7,6,6248080,540629,266969,156962,561788,1,195259,3,3833,1,418,1
11,8,12,2962431,95274,66994,85644,421720,1,191233,3,791,0,433,1
12,2,0,51587,22226,11989,86373,372191,0,400728,0,2833,1,83,3
13,6,13,716901,64438,462792,124732,280449,0,391201,0,3275,1,727,0
14,4,5,3878621,169699,74873,206410,305886,0,226820,3,3246,1,343,1
15,5,6,6134530,605090,243736,164963,70082,3,45934,2,1661,3,814,2
16,0,8,4129618,569538,354510,207200,557140,1,56201,2,2616,1,779,0
17,6,7,965322,67628,159100,74883,441580,1,260311,0,2674,1,944,2
18,7,1,5136263,259077,251934,152226,406786,1,209964,3,4825,2,803,2
19,4,19,4573334,160193,136847,24239,335209,0,64253,2,3284,1,911,2
20,2,2,98797,18941,10931,101638,111236,3,368078,0,4743,2,86,3
21,2,15,54748,26286,8966,100344,395124,0,216960,3,855,0,469,1
22,1,15,3020315,66923,48551,158107,239672,0,389037,0,3021,1,580,0
23,0,18,4053439,690195,283411,247592,445468,1,336773,0,4119,2,985,2
24,1,19,2749217,58231,92739,29162,538829,1,426276,0,4936,2,565,0
25,5,8,11394803,250303,389080,224637,193815,3,22490,1,1640,3,493,1
26,0,9,4579468,699106,179912,24410,411834,1,117068,3,794,0,597,0
27,3,11,2483885,96913,66114,25539,139472,3,237508,3,1629,3,98,3
28,0,3,3653033,531893,254866,27874,469245,1,87614,2,524,0,897,2
29,7,6,7893174,362635,559410,68611,578730,1,438606,0,4582,2,531,0
30,7,4,5920953,879797,569217,79659,539407,1,430820,0,2258,1,843,2
31,3,15,4804547,149065,72697,184232,509421,1,385950,0,3273,1,487,1
32,2,17,95855,28617,9636,231321,588923,1,454646,0,4916,2,600,0
33,3,13,3237876,92796,45597,129438,160787,3,227141,3,1324,3,962,2
34,7,14,5463770,781706,256973,198741,510909,1,453503,0,3668,1,767,0
35,6,14,344413,96548,431874,240190,129270,3,279256,0,3838,1,266,1
36,1,19,2188017,53147,49813,238749,549145,1,130097,3,1172,3,681,0
37,0,13,4467409,528092,245019,248995,125008,3,200907,3,1685,3,903,2
38,4,9,6361965,159015,128201,205679,305133,0,390039,0,4666,2,320,1
39,0,13,4816090,518787,237022,26179,226817,0,328275,0,4891,2,98,3
40,8,8,1799828,80883,92320,174809,148772,3,269684,0,1644,3,268,1
41,5,0,7142225,723520,256960,50615,513083,1,487488,0,1327,3,457,1
42,2,17,81239,29990,5692,216200,563746,1,131271,3,2882,1,108,1
43,5,5,10937915,326262,231708,183106,422929,1,244069,3,981,0,596,0
44,5,19,7922368,987777,229618,97129,50685,2,315527,0,2261,1,587,0
45,6,17,573855,91859,384841,148747,476635,1,238781,3,2828,1,433,1
46,5,2,11572197,414714,356124,153739,114834,3,57902,2,2590,1,102,1
47,1,18,1996353,77874,34246,81589,595349,1,363047,0,1999,3,700,0
48,3,7,2117856,129603,57254,34158,94071,3,85979,2,1287,3,987,2
49,4,19,3860364,187463,100664,125203,261768,0,419227,0,4280,2,373,1
50,2,3,47896,25071,6478,196919,405600,1,386287,0,4365,2,815,2
51,7,6,6963966,791412,578197,29814,387177,0,71889,2,2843,1,628,0
52,6,16,302743,78389,354961,122443,562988,1,90703,2,3356,1,992,2
53,2,18,29549,21820,12344,94365,269544,0,362791,0,4544,2,432,1
54,4,9,7413715,208415,144346,20456,194150,3,251283,0,3259,1,824,2
55,7,3,5416961,342718,536375,279799,440305,1,146171,3,675,0,494,1
56,8,12,2201966,68595,102288,33633,334431,0,110018,3,1671,3,52,3
57,8,8,1686392,56089,30749,182683,518404,1,124315,3,3268,1,225,1
58,3,14,3754034,150834,30574,90576,193342,3,23024,1,521,0,844,2
59,3,15,1567273,125237,85636,291090,393747,0,100529,3,1317,3,904,2
60,7,4,6433244,428586,601108,68100,588046,1,338287,0,3670,1,196,1
61,8,15,2564389,58746,110538,151566,443756,1,259310,0,2320,1,600,0
62,5,3,11432197,269819,91004,231595,395111,0,493679,0,3888,1,852,2
63,6,5,295510,72976,441564,196837,489058,1,114700,3,4104,2,531,0
64,2,12,42875,25667,5580,203845,113552,3,296454,0,3775,1,248,1
65,1,12,1565828,56028,66516,136218,577416,1,347525,0,2244,1,300,1
66,7,9,7494403,557987,469861,225790,317033,0,185758,3,3100,1,999,2
67,7,11,5811522,291616,397280,232403,468049,1,255697,0,2479,1,912,2
68,1,15,1541171,67525,83103,189117,531497,1,234147,3,3272,1,422,1
69,8,18,3125931,153460,87215,252219,456665,1,223259,3,1428,3,209,1
70,4,7,7759790,166833,76724,125795,260632,0,131121,3,2009,1,452,1
71,6,4,508453,88196,342199,25117,258551,0,217818,3,3483,1,643,0
72,5,17,7979396,175843,393020,153856,542990,1,279359,0,840,0,234,1
73,0,11,5612779,545903,240651,272386,558807,1,29908,1,3287,1,485,1
74,4,18,4857028,210803,122652,100976,361813,0,45877,2,4070,2,451,1
75,3,13,4688413,117113,78616,113715,523065,1,70659,2,4530,2,502,0
76,8,19,2680863,103380,57005,270203,67481,3,65656,2,2440,1,920,2
77,0,17,4972540,513727,311297,139483,513039,1,73329,2,4911,2,330,1
78,2,9,51350,25336,11350,100374,595344,1,98878,2,551,0,233,1
79,2,13,78015,17412,5760,242632,217778,0,160218,3,1681,3,916,2
80,3,17,1550928,176945,60451,165471,419230,1,462818,0,4467,2,91,3
81,3,16,2091075,161052,87545,42563,283073,0,421716,0,3219,1,966,2
82,8,18,2441350,189741,104023,297479,433618,1,139371,3,3767,1,531,0
83,0,6,4674328,606834,353299,273297,129600,3,450826,0,4509,2,999,2
84,6,0,271643,93771,280391,110856,131977,3,289683,0,3454,1,488,1
85,0,3,4959250,629055,359717,116479,184284,3,298892,0,2797,1,616,0
86,2,4,21366,29816,11014,262521,77458,3,223791,3,1173,3,75,3
87,1,6,2254082,73583,49272,170418,75330,3,64109,2,2681,1,375,1
88,0,8,4125002,614692,131721,215130,387857,0,166744,3,4407,2,351,1
89,6,1,435369,82298,327046,57780,390654,0,457655,0,504,0,460,1
90,3,12,4905260,143401,58858,263440,106757,3,457414,0,2985,1,132,1
91,5,4,9597525,916067,281469,129217,96868,3,127040,3,3583,1,418,1
92,6,7,995951,81990,559821,87561,434200,1,467397,0,4429,2,189,1
93,6,19,827487,53232,225573,205494,277221,0,369819,0,2559,1,72,3
94,3,19,3080956,113539,45262,277418,451470,1,498490,0,4971,2,887,2
95,8,8,2822292,187774,31597,242063,233133,0,436676,0,2317,1,357,1
96,0,8,5349730,571467,257987,119639,263815,0,41297,2,1250,3,399,1
97,7,2,8679331,207865,553485,250855,507261,1,225391,3,2813,1,680,0
98,2,3,39459,15498,5127,32752,328388,0,395911,0,2934,1,142,1
99,8,4,1969657,120107,108361,225577,493788,1,92792,2,1321,3,571,0
100,4,15,4756638,215593,117130,118275,526080,1,110862,3,4907,2,205,1
102,7,15,5135463,834122,235025,121622,400418,1,445238,0,1118,3,582,0
103,8,1,2169864,139835,47673,91725,316169,0,298546,0,1865,3,594,0
104,8,7,2618350,161266,46917,258277,326018,0,232137,3,4776,2,498,1
105,0,8,4295978,673920,372610,39422,313830,0,372829,0,1832,3,636,0
106,5,11,6693890,609317,200297,115885,384146,0,237605,3,1618,3,605,0
107,4,16,4673711,228815,103453,132250,68847,3,205583,3,1599,3,385,1
108,0,13,4388474,520314,238240,148111,364778,0,246055,3,3341,1,662,0
109,1,0,3454249,68621,35574,91791,585785,1,430063,0,1923,3,417,1
110,7,11,8122876,718282,245997,213723,261900,0,220980,3,3873,1,589,0
111,1,8,3239241,94601,59567,280588,193074,3,456849,0,1563,3,652,0
112,4,0,3947414,173576,119035,93359,512244,1,99156,2,3640,1,850,2
113,5,3,10994191,258365,572335,42807,215681,0,59009,2,4242,2,446,1
114,8,10,1572771,110247,39749,43645,149579,3,222738,3,2665,1,332,1
115,4,6,3635366,101049,98203,29509,500545,1,457996,0,2481,1,532,0
116,2,0,73338,26684,7688,71124,368748,0,380816,0,2100,1,382,1
117,0,19,5194842,604786,167715,126766,307880,0,442890,0,1490,3,998,2
118,3,7,2110277,155944,84974,27003,52098,2,341607,0,4120,2,596,0
119,3,7,3176272,111718,65778,63916,341803,0,288908,0,3235,1,573,0
120,4,13,5812575,249188,79467,284864,89495,3,142018,3,4032,2,112,1
121,1,14,2805864,73618,72666,219200,314600,0,138064,3,1804,3,991,2
122,3,6,4259277,195077,58904,269080,76200,3,388833,0,3380,1,647,0
123,8,17,2274747,197387,92550,231757,361373,0,438891,0,1001,3,253,1
124,6,11,531520,90293,296788,129362,589188,1,365284,0,1015,3,224,1
125,3,4,3053032,157515,34371,252448,567519,1,271792,0,4111,2,578,0
126,1,9,2955762,94910,33798,126676,549433,1,392380,0,582,0,564,0
127,8,18,2107126,197389,119527,285831,161045,3,106898,3,537,0,696,0
128,2,9,58461,17629,5390,236500,162167,3,84199,2,3791,1,579,0
129,4,8,4487875,157196,123948,87040,385916,0,275559,0,4880,2,353,1
130,8,15,2983218,128055,26592,219832,310143,0,326056,0,1175,3,335,1
131,1,1,2744001,65650,76970,63210,217727,0,375851,0,2282,1,964,2
132,1,13,1693776,66275,61714,205578,354016,0,194856,3,4255,2,290,1
133,2,4,90453,22598,11401,251525,421330,1,63702,2,3914,1,526,0
134,1,0,1744455,93839,69744,112064,523177,1,192824,3,3310,1,753,0
135,4,12,5279180,131064,98117,78714,114662,3,406487,0,1573,3,229,1
136,4,3,7046374,196457,70659,99464,73342,3,342055,0,4274,2,707,0
137,2,4,26759,25110,8816,182685,242649,0,321142,0,1862,3,790,0
138,8,5,3313177,144462,97376,134924,104472,3,456744,0,3769,1,781,0
139,8,10,2220206,62845,30153,279740,107295,3,133975,3,1735,3,564,0
